SessionFile,PlayerID,Person,Label,CheatType,SessionDurationSeconds,AimAngularSpeedMean,AimAngularSpeedStdDev,AimAngularErrorMean,AimAngularErrorStdDev,AimErrorSampleCount,AimFlipRatio,MovementSpeedMean,MovementSpeedMax,DirectionChangesPerSecond,SpeedViolationRatio,MovementPathEntropy,ReactionTimeMean,ReactionTimeStdDev,ShotIntervalMean,ShotIntervalStdDev,ShotsPerSecond,HitRate,HeadshotRate,KillsPerMinute,KillDeathRatio,TotalShots,TotalHits,TotalKills,TotalDeaths
session_2026-08-13_12-54-03.csv,Krystall-8CBC35F24BD,Peter,0,,134.8399,38.1124,79.1572,15.0126,12.0011,360,0.0,299.3212,600.0,0.7045,0.0,2.958,0.1871,0.5968,0.1535,0.163,3.1741,0.1822,0.0,2.6698,2.0,428,78,6,3
session_2026-08-13_12-54-03.csv,LAPTOP-IN41KCMK-5468,Clemi,0,,129.8214,48.0935,90.9725,10.676,11.8451,355,0.0008,356.7597,600.0,0.6162,0.0,2.9179,0.1124,0.1158,0.2176,0.8347,3.1813,0.1937,0.0,1.8487,1.0,413,80,4,4
session_2026-08-13_12-56-54.csv,Phileas-PC-338CF49F4,Phileas,0,,134.7868,75.2927,106.9761,10.5089,10.7643,539,0.0,542.1816,600.0,0.4897,0.0,2.9787,0.1137,0.394,0.1454,0.2742,5.364,0.1604,0.0,4.8966,3.6667,723,116,11,3
session_2026-08-13_12-56-54.csv,Stacjonarny-CA89EB15,Mateusz,0,,119.647,36.2383,78.0667,13.9204,11.6411,44,0.0,240.693,600.0,0.2925,0.0,2.9296,0.3521,0.505,0.5231,1.161,0.4095,0.4082,0.0,1.003,0.3333,49,20,2,6
session_2026-08-13_12-56-54.csv,DESKTOP-375SOSC-ECA1,Joni,0,,99.3893,42.9825,90.6235,17.5999,7.9574,40,0.0,394.1145,600.0,0.3119,0.0,2.9186,0.117,0.0603,0.4376,0.5158,0.5936,0.1525,0.0,0.6037,0.0909,59,9,1,11
session_2026-08-13_12-56-54.csv,Krystall-8CBC35F24BD,Peter,0,,124.702,33.7863,76.2508,12.0322,11.4729,160,0.0,235.9402,600.0,0.401,0.0,2.9751,0.2403,0.8223,0.1699,0.2501,1.8925,0.2288,0.0,0.9623,0.4,236,54,2,5
session_2026-08-13_12-56-54.csv,LAPTOP-IN41KCMK-5468,Clemi,0,,129.9132,53.7343,88.4741,9.2418,9.5907,379,0.0,443.4864,600.0,0.6389,0.0,2.9756,0.1301,0.2267,0.1967,0.2586,3.7871,0.1992,0.0,5.5422,3.0,492,98,12,4
session_2026-08-13_12-59-44.csv,Phileas-PC-338CF49F4,Phileas,0,,124.7477,35.8917,83.9842,5.9596,8.2712,91,0.0,254.5892,600.0,0.2565,0.0,2.952,0.2272,0.503,0.2288,0.5197,1.1623,0.2207,0.0,0.9619,0.4,145,32,2,5
session_2026-08-13_12-59-44.csv,Stacjonarny-CA89EB15,Mateusz,0,,129.8044,47.2418,83.1945,10.2099,12.0118,494,0.0,460.2188,600.0,0.7935,0.0,2.9202,0.1222,0.3717,0.1492,0.2593,4.63,0.2196,0.0,5.5468,3.0,601,132,12,4
session_2026-08-13_12-59-44.csv,DESKTOP-375SOSC-ECA1,Joni,0,,114.5651,38.9126,79.8892,12.6922,7.9854,69,0.0009,421.2054,658.8104,0.3142,0.0009,2.8868,0.2674,0.2054,0.4715,0.8675,0.7158,0.2805,0.0,2.0949,0.5714,82,23,4,7
session_2026-08-13_12-59-44.csv,Krystall-8CBC35F24BD,Peter,0,,124.7507,69.4947,104.5358,11.9806,11.2534,231,0.0,496.485,600.0,0.7535,0.0,2.9934,0.2482,0.7742,0.2144,0.5597,3.022,0.183,0.0,3.3667,1.4,377,69,7,5
session_2026-08-13_12-59-44.csv,LAPTOP-IN41KCMK-5468,Clemi,0,,114.6945,51.9231,100.0505,10.4781,12.5558,161,0.0009,441.4777,600.0,0.558,0.0,2.9214,0.3599,0.7861,0.2847,0.5835,1.9617,0.1778,0.0,1.5694,0.4286,225,40,3,7
session_2026-08-13_13-02-34.csv,Phileas-PC-338CF49F4,Phileas,0,,124.7141,59.9274,95.4125,11.4633,10.8847,411,0.0,449.2777,600.0,0.4089,0.0,2.9463,0.2114,0.6929,0.149,0.2824,4.1936,0.1969,0.0,4.811,2.0,523,103,10,5
