SessionFile,PlayerID,Person,Label,CheatType,RuleCalibrated_Frac,RuleCalibrated_Label
session_2026-08-13_20-22-12.csv,Stacjonarny-CA89EB15,Mateusz,0,,1.0,1
session_2026-08-13_20-22-12.csv,MBurgerPC-C08954A945,Maxi,0,,0.0,0
session_2026-08-13_20-25-02.csv,RF-MS1-1-EF024FED46C,Nikolay,0,,0.0,0
session_2026-08-13_20-25-02.csv,MBurgerPC-C08954A945,Maxi,0,,0.0,0
session_2026-08-13_20-25-02.csv,Phileas-PC-167800BF4,Phileas,0,,0.0,0
session_2026-08-13_20-25-02.csv,Stacjonarny-CA89EB15,Mateusz,0,,0.0,0
session_2026-08-13_20-27-53.csv,RF-MS1-1-EF024FED46C,Nikolay,0,,0.0,0
session_2026-08-13_20-27-53.csv,MBurgerPC-C08954A945,Maxi,1,aimbot,1.0,1
session_2026-08-13_20-27-53.csv,Phileas-PC-167800BF4,Phileas,1,wallhack,0.0,0
session_2026-08-13_20-27-53.csv,Stacjonarny-CA89EB15,Mateusz,0,,0.0,0
session_2026-08-13_20-40-09.csv,Phileas-PC-167800BF4,Phileas,1,aimbot,1.0,1
session_2026-08-13_20-40-09.csv,MBurgerPC-C08954A945,Maxi,0,,0.0,0
session_2026-08-13_20-40-09.csv,Stacjonarny-CA89EB15,Mateusz,0,,0.0,0
session_2026-08-13_20-40-09.csv,RF-MS1-1-EF024FED46C,Nikolay,0,,0.0,0
session_2026-08-13_20-42-59.csv,Phileas-PC-167800BF4,Phileas,0,,0.0,0
session_2026-08-13_20-42-59.csv,MBurgerPC-C08954A945,Maxi,0,,0.0,0
session_2026-08-13_20-42-59.csv,Stacjonarny-CA89EB15,Mateusz,0,,0.2,0
session_2026-08-13_20-42-59.csv,RF-MS1-1-EF024FED46C,Nikolay,0,,0.0,0
session_2026-08-13_20-45-49.csv,Phileas-PC-167800BF4,Phileas,0,,0.0,0
session_2026-08-13_20-45-49.csv,MBurgerPC-C08954A945,Maxi,0,,0.0,0
session_2026-08-13_20-45-49.csv,Stacjonarny-CA89EB15,Mateusz,0,,0.0,0
session_2026-08-13_20-45-49.csv,RF-MS1-1-EF024FED46C,Nikolay,0,,1.0,1
session_2026-08-13_20-48-39.csv,Phileas-PC-167800BF4,Phileas,0,,0.0,0
session_2026-08-13_20-48-39.csv,MBurgerPC-C08954A945,Maxi,0,,0.0,0
session_2026-08-13_20-48-39.csv,RF-MS1-1-EF024FED46C,Nikolay,1,aimbot+wallhack+triggerbot+godmode,1.0,1
session_2026-08-14_14-25-16.csv,Phileas-PC-167800BF4,Phileas,0,,0.0,0
session_2026-08-14_14-25-16.csv,Stacjonarny-CA89EB15,Mateusz,0,,0.0,0
session_2026-08-14_14-25-16.csv,RF-MS1-1-EF024FED46C,Nikolay,0,,0.0,0
session_2026-08-14_14-25-16.csv,LAPTOP-IN41KCMK-5468,Clemi,0,,0.0,0
session_2026-08-14_14-28-06.csv,Phileas-PC-167800BF4,Phileas,0,,0.0,0
session_2026-08-14_14-28-06.csv,Stacjonarny-CA89EB15,Mateusz,0,,0.0,0
session_2026-08-14_14-28-06.csv,RF-MS1-1-EF024FED46C,Nikolay,0,,0.0,0
session_2026-08-14_14-28-06.csv,LAPTOP-IN41KCMK-5468,Clemi,1,aimbot,1.0,1
session_2026-08-14_14-30-56.csv,MBurgerPC-C08954A945,Maxi,0,,0.0,0
session_2026-08-14_14-30-56.csv,Phileas-PC-167800BF4,Phileas,0,,0.0,0
session_2026-08-14_14-30-56.csv,Stacjonarny-CA89EB15,Mateusz,0,,0.0,0
session_2026-08-14_14-30-56.csv,RF-MS1-1-EF024FED46C,Nikolay,0,,0.0,0
session_2026-08-14_14-30-56.csv,LAPTOP-IN41KCMK-5468,Clemi,0,,0.0,0
session_2026-08-14_14-33-46.csv,MBurgerPC-C08954A945,Maxi,0,,0.0,0
session_2026-08-14_14-33-46.csv,Phileas-PC-167800BF4,Phileas,0,,0.2,0
session_2026-08-14_14-33-46.csv,Stacjonarny-CA89EB15,Mateusz,1,aimbot+triggerbot,0.1,0
session_2026-08-14_14-33-46.csv,RF-MS1-1-EF024FED46C,Nikolay,1,aimbot+wallhack+triggerbot+godmode,1.0,1
session_2026-08-14_14-33-46.csv,LAPTOP-IN41KCMK-5468,Clemi,0,,0.3,0
session_2026-08-14_14-40-47.csv,Phileas-PC-167800BF4,Phileas,0,,0.0,0
session_2026-08-14_14-40-47.csv,MBurgerPC-C08954A945,Maxi,0,,0.0,0
session_2026-08-14_14-40-47.csv,RF-MS1-1-EF024FED46C,Nikolay,0,,0.0,0
session_2026-08-14_14-40-47.csv,LAPTOP-IN41KCMK-5468,Clemi,0,,0.0,0
session_2026-08-14_14-43-37.csv,Phileas-PC-167800BF4,Phileas,1,aimbot,1.0,1
session_2026-08-14_14-43-37.csv,MBurgerPC-C08954A945,Maxi,0,,0.0,0
session_2026-08-14_14-43-37.csv,RF-MS1-1-EF024FED46C,Nikolay,0,,0.0,0
session_2026-08-14_14-43-37.csv,LAPTOP-IN41KCMK-5468,Clemi,0,,0.0,0
session_2026-08-14_14-43-37.csv,Stacjonarny-CA89EB15,Mateusz,0,,0.0,0
session_2026-08-14_14-46-27.csv,Phileas-PC-167800BF4,Phileas,0,,0.0,0
session_2026-08-14_14-46-27.csv,MBurgerPC-C08954A945,Maxi,0,,0.0,0
session_2026-08-14_14-46-27.csv,RF-MS1-1-EF024FED46C,Nikolay,0,,0.7,1
session_2026-08-14_14-46-27.csv,LAPTOP-IN41KCMK-5468,Clemi,0,,0.0,0
session_2026-08-14_14-46-27.csv,Stacjonarny-CA89EB15,Mateusz,0,,0.0,0
session_2026-08-14_14-52-07.csv,Phileas-PC-167800BF4,Phileas,0,,0.0,0
session_2026-08-14_14-52-07.csv,MBurgerPC-C08954A945,Maxi,0,,1.0,1
session_2026-08-14_14-52-07.csv,Stacjonarny-CA89EB15,Mateusz,0,,0.0,0
session_2026-08-14_14-52-07.csv,RF-MS1-1-EF024FED46C,Nikolay,0,,0.0,0
session_2026-08-14_14-52-07.csv,LAPTOP-IN41KCMK-5468,Clemi,0,,0.2,0
session_2026-08-14_14-54-57.csv,Phileas-PC-167800BF4,Phileas,1,wallhack,0.0,0
session_2026-08-14_14-54-57.csv,MBurgerPC-C08954A945,Maxi,0,,0.0,0
session_2026-08-14_14-54-57.csv,Stacjonarny-CA89EB15,Mateusz,0,,0.0,0
session_2026-08-14_14-54-57.csv,RF-MS1-1-EF024FED46C,Nikolay,0,,0.0,0
session_2026-08-14_14-54-57.csv,LAPTOP-IN41KCMK-5468,Clemi,0,,0.0,0
session_2026-08-14_14-57-47.csv,LAPTOP-IN41KCMK-5468,Clemi,0,,0.0,0
session_2026-08-14_14-57-47.csv,Phileas-PC-167800BF4,Phileas,0,,0.0,0
session_2026-08-14_14-57-47.csv,MBurgerPC-C08954A945,Maxi,0,,0.4,0
session_2026-08-14_14-57-47.csv,Stacjonarny-CA89EB15,Mateusz,0,,0.6,1
session_2026-08-14_14-57-47.csv,RF-MS1-1-EF024FED46C,Nikolay,0,,0.0,0
session_2026-08-14_15-10-30.csv,Phileas-PC-167800BF4,Phileas,0,,0.2,0
session_2026-08-14_15-10-30.csv,RF-MS1-1-EF024FED46C,Nikolay,0,,0.0,0
session_2026-08-14_15-10-30.csv,Stacjonarny-CA89EB15,Mateusz,0,,0.3,0
