seed,alpha,risk_tau,RAPID_FIRE,RAPID_FIRE_HIGH,REACTION_MEAN,REACTION_STD,INTERVAL_STD,AIM_FLIP_RATIO,AIM_ERROR,AIM_ERROR_HIGH,ON_TARGET_RATIO,SPEED_MAX,SPEED_VIOLATION,GOD_KILLS
2,0.01,5,9.470464108899945,9.82446752851422,0.017714999999999998,0.016558,0.012040000000000002,0.0008709999999999994,4.142772,3.602436,0.9514638295240156,881.2626589999994,0.0013969999999999957,20
3,0.005,5,9.637785921718423,9.881051230281965,0.0170325,0.0014819999999999996,0.0069435,0.0031860000000000013,4.0985045,3.5446828750000003,0.9004324908771456,1021.515886,0.0016,20
3,0.01,5,9.599062098960397,9.953593585855582,0.020524999999999998,0.016185,0.006455,0.0022750000000000114,4.173551,3.363677,0.9288918729209269,848.350415000002,0.0015350000000000023,20
3,0.01,5,9.609047638419918,9.953816574498028,0.020479999999999998,0.016612000000000002,0.00639,0.002207999999999998,4.161158,3.362966,0.9335088874259372,916.9573959999999,0.0015439999999999998,20
3,0.01,5,9.617923673495051,9.954014786624645,0.025212,0.016596,0.005935000000000001,0.002360000000000005,4.151519,3.362413,0.9410992767113255,918.6268680000002,0.0016,20
3,0.005,5,9.796191128487582,9.911734349286075,0.0255085,0.006162,0.00556,0.002402500000000002,3.7302579999999996,3.4634395,0.9911290322580644,884.2886365000004,0.0016,20
4,0.01,5,9.609047638419918,9.953816574498028,0.020479999999999998,0.016612000000000002,0.00639,0.002207999999999998,4.161158,3.362966,0.9335088874259372,916.9573959999999,0.0015439999999999998,20
4,0.01,5,9.599062098960397,9.953593585855582,0.020524999999999998,0.016185,0.006455,0.0022750000000000114,4.173551,3.363677,0.9288918729209269,848.350415000002,0.0015350000000000023,20
4,0.01,5,9.617923673495051,9.954014786624645,0.025212,0.016596,0.005935000000000001,0.002360000000000005,4.151519,3.362413,0.9410992767113255,918.6268680000002,0.0016,20
4,0.02,5,9.298973285065344,9.929318590798427,0.04159,0.02405,0.011190000000000002,0.0018399999999999977,4.536226,3.42975,0.8953061224489797,683.1218899999997,0.0013199999999999933,20
4,0.005,5,9.04563135580177,9.199428190476812,0.0167,0.006474000000000001,0.031624,0.0019339999999999974,4.168759,4.1072897500000005,0.89543485606163,988.6771019999993,0.0017169999999999987,20
5,0.01,5,9.548201197835269,9.955080176805216,0.020225,0.015645,0.005235999999999999,0.0020799999999999955,4.090931,3.358937,0.9005811596161644,903.204154999999,0.0016,20
5,0.01,5,9.617923673495051,9.954014786624645,0.025212,0.016596,0.005935000000000001,0.002360000000000005,4.151519,3.362413,0.9410992767113255,918.6268680000002,0.0016,20
5,0.01,5,9.609047638419918,9.953816574498028,0.020479999999999998,0.016612000000000002,0.00639,0.002207999999999998,4.161158,3.362966,0.9335088874259372,916.9573959999999,0.0015439999999999998,20
5,0.02,5,9.298973285065344,9.929318590798427,0.04159,0.02405,0.011190000000000002,0.0018399999999999977,4.536226,3.42975,0.8953061224489797,683.1218899999997,0.0013199999999999933,20
5,0.02,5,8.58263458072596,9.370532335379698,0.02063,0.017817999999999997,0.052216,0.0017279999999999971,5.484204,4.2287289999999995,0.881395918367347,778.0372479999979,0.0009839999999999918,20
6,0.02,5,9.298973285065344,9.929318590798427,0.04159,0.02405,0.011190000000000002,0.0018399999999999977,4.536226,3.42975,0.8953061224489797,683.1218899999997,0.0013199999999999933,20
6,0.02,5,9.075471939919769,9.668960875177058,0.030812,0.018088,0.027780000000000013,0.0017,4.935830000000001,4.089798500000001,0.8876811395699219,811.5975759999992,0.0014519999999999926,20
6,0.005,5,9.637785921718423,9.881051230281965,0.0170325,0.0014819999999999996,0.0069435,0.0031860000000000013,4.0985045,3.5446828750000003,0.9004324908771456,1021.515886,0.0016,20
